concept_id	entry_id	scope	status	source_term	preferred_target	allowed_variants	forbidden_targets	context_note	positive_example	negative_example	conflict_id	blocking	evidence_refs
c-pm-0001	t-bare-metal-cluster-buildout-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	裸金属 Cluster Buildout	bare-metal cluster buildout	bare-metal buildout		Use for the overall scenario, not for a single provisioning step or a Kubernetes deployment analogy.	This page discusses buildout for physical-machine / bare-metal clusters.	This is a narrower provisioning task, not the full buildout.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#范围;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Scope;wiki/analyses/process-manager-external-data-warehouse-architecture.md#问题;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Question
c-pm-0002	t-primary-process-manager-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	主 process manager	primary process manager			Use when describing the primary owner of the buildout process, not a worker, executor, or passive runtime.	Temporal has the highest modeling fit with the scenario at the core resource-process modeling dimension and should be treated as the primary baseline.	This is only a runtime role, not the process owner.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#决策;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Decision
c-pm-0003	t-external-operational-data-warehouse-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	外部运维数据仓库	external operational data warehouse			Do not collapse this into a command ledger, lock service, or writable resource database.	The external operational data warehouse is the observation baseline for physical state.	This is not a writable command ledger.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#问题;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Question
c-pm-0004	t-coordination-command-source-of-truth-stream-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	协调事实线	coordination-command source-of-truth stream			Use for the command-and-coordination truth line, not for physical-world observations.	Event History is the source of truth for coordination commands and command returns.	This stream does not prove current physical state.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#答案;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Answer
c-pm-0005	t-observation-source-of-truth-stream-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	观察事实线	observation source-of-truth stream			Use for observed state only; do not use it for command audit or workflow history.	The external operational data warehouse is the source of truth for the physical world's observed state.	Observed state does not replace command history.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#答案;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Answer
c-pm-0006	t-reconcile-loop-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	reconcile loop	reconcile loop			Use the expanded observe/compare/command/wait wording only when emphasizing the loop steps.	Workflow or graph explicitly observe -> compare -> command -> wait -> observe.	This is a durable control loop, not a spin loop.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#答案;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Answer
c-pm-0007	t-workflow-execution-orchestration-instance-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	Workflow Execution / orchestration instance	Workflow Execution	workflow execution;orchestration instance		Use Workflow Execution for Temporal-specific process identity and orchestration instance for Azure/Durable Task-specific process identity.	Workflow Execution is the process identity; an orchestration instance is also a process identity.	DagRun is not the long-running process identity here.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#核心建模维度对比;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Core-modeling-dimension-comparison
c-pm-0008	t-child-workflow-sub-orchestration-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	Child Workflow / sub-orchestration	Child Workflow	child workflow;sub-orchestration		Use Child Workflow for Temporal-specific child process partitioning and sub-orchestration for Azure/Durable Task-specific child process partitioning.	Per-node, per-rack, or per-fabric handling can use a Child Workflow or sub-orchestration to isolate history, waiting, retries, and localized failure.	TaskInstance is a task execution object, not a child process boundary.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#Temporal-的-reference-architecture-价值与限制;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Temporal-s-value-as-a-reference-architecture-and-its-limits
c-pm-0009	t-event-history-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	Event History	Event History			Use as the coordination truth line, not as a physical-state database.	Event History is the source of truth for coordination commands and command returns.	Event History does not prove current physical state.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#答案;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Answer
c-pm-0010	t-signal-update-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	Signal/Update	Signal/Update			Use when discussing in-flight workflow interaction and command requests, not the physical-world observation baseline.	Signals/Updates can inject external messages into the running Workflow Execution.	This is only an ingress surface; external auth and audit are still required.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#Temporal-的-reference-architecture-价值与限制;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Temporal-s-value-as-a-reference-architecture-and-its-limits
c-pm-0011	t-activity-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	Activity	Activity			Use for command submission, observation, and other external I/O boundaries.	Activity is the boundary for external I/O and real-world side effects.	Activity success proves only command execution, not physical-state arrival.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#答案;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Answer
c-pm-0012	t-task-queue-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	Task Queue	Task Queue			Use when the discussion is about activity-level routing or worker placement.	Temporal can route different activities to different Task Queues inside the workflow.	Deployment topology is not the same as runtime task routing.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#第一批强候选的证据矩阵;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Evidence-matrix-for-the-first-strong-candidates
c-pm-0013	t-idempotency-key-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	幂等键	idempotency key			Use for commands, approvals, and any side-effecting operation that may be retried.	Each command round uses an idempotency key, operation ID, and observation version.	An idempotency key protects against duplication; it does not prove state arrival.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#答案;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Answer
c-pm-0014	t-read-back-verification-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	读后校验	read-back verification			Use for hazardous operations and any operation whose outcome must be observed, not merely reported.	All candidates must prove the external inventory/resource graph, idempotency keys, and read-back verification.	A successful Activity is only command evidence, not read-back verification.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#答案;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Answer
c-pm-0015	t-activity-resource-pool-routing-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	activity 级主动资源池路由	activity resource-pool routing			Use when comparing Temporal's Task Queue routing with Azure/DTS passive filtering.	Temporal can route different activities to different Task Queues inside the workflow.	This is passive deployment isolation, not active activity routing.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#第一批强候选的证据矩阵;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Evidence-matrix-for-the-first-strong-candidates
c-pm-0016	t-external-event-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	external event	external event			Use for vendor callbacks, human approvals, and other wakeups into an in-flight process object.	External event can let human approval enter the running instance.	An external event only signals that a re-observation or action may be needed.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#Azure-Durable-Functions-Durable-Task-的候选定位;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Candidate-positioning-for-Azure-Durable-Functions-Durable-Task
c-pm-0017	t-request-port-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	RequestPort	RequestPort			Use it as an interaction surface, not as a synonym for the physical-state baseline.	RequestPort is suitable for expressing 'wait for external input, human confirmation, or external system callback'.	RequestPort is only a wakeup/input surface; the target state still comes from observation.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#MAF-Durable-Extension-在观察驱动架构下的建模;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#MAF-Durable-Extension-modeling-in-an-observation-driven-architecture
c-pm-0018	t-custom-status-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	custom status	custom status			Use for in-flight coordination visibility only; business dashboards should query the external operational data warehouse directly.	MAF custom status should be a live coordination projection.	Custom status is an auxiliary surface, not the source of truth.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#MAF-Durable-Extension-在观察驱动架构下的建模;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#MAF-Durable-Extension-modeling-in-an-observation-driven-architecture
c-pm-0019	t-continue-as-new-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	Continue-As-New	Continue-As-New	ContinueAsNew		Use for controlled rollover, not for arbitrary plan migration or rollback.	Continue-As-New is not an 'edit graph' API that an agent can call directly.	Continue-As-New only moves the run boundary and history.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#Temporal-接入-Agent-与计划修订的边界;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Boundaries-for-Temporal-with-agents-and-plan-revisions
c-pm-0020	t-worker-versioning-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	Worker Versioning	Worker Versioning			Use when discussing replay-safe upgrades; it does not migrate already executed physical side effects.	Worker Versioning is a worker/deployment routing and replay-safe upgrade mechanism.	Versioning protects replay compatibility; it does not move hardware side effects.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#Temporal-的-reference-architecture-价值与限制;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Temporal-s-value-as-a-reference-architecture-and-its-limits
c-pm-0021	t-graph-workflow-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	graph workflow	graph workflow			Use when the authoring surface is graph-based and durable-backed, not when describing a plain DAG.	Graph workflows are a first-class authoring surface.	A DAG is a different modeling object from a graph workflow.		false	wiki/analyses/process-manager-external-data-warehouse-architecture.md#MAF-Durable-Extension-在观察驱动架构下的建模;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#MAF-Durable-Extension-modeling-in-an-observation-driven-architecture
c-pm-0022	t-agent-hitl-adapter-zh-en	domain:bare-metal-cluster-buildout-process-management/process-manager-analysis-translation	approved	agent/HITL adapter	agent/HITL adapter			Use when the framework is auxiliary to the process manager rather than the process owner.	Otherwise it is more accurately an agent/HITL adapter layered on top of durable orchestration.	An adapter is not the primary process manager.		false	wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.md#决策;translation/wiki/analyses/bare-metal-cluster-buildout-process-manager-selection.en-US.md#Decision;wiki/analyses/process-manager-external-data-warehouse-architecture.md#答案;translation/wiki/analyses/process-manager-external-data-warehouse-architecture.en-US.md#Answer
